"Unnormalised"
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,
0.33125,0.22625,0.02375,0.00875,0.00375,0.0025,0.0075,0.0125,0.00875,0.01,0.02,0.00875,0.0075,0.00875,0.01,0.0125,0.0075,0.01,0.01,0.0225,0.02125,0.01875,0.05,0.02875,0.02625,0.03125,0.0175,0.01625,0.01375,0.0125,0.0025,0.00125,0.005,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.397647,0.208235,0.02,0.0211765,0.0164706,0.0164706,0.0247059,0.0129412,0.0176471,0.0105882,0.00705882,0.0141176,0.0117647,0.0129412,0.0141176,0.00823529,0.00352941,0.00705882,0.0105882,0.0141176,0.0129412,0.0305882,0.02,0.0258824,0.00941176,0.0117647,0.0141176,0.0105882,0.00823529,0.00117647,0.00470588,0,0,0.00117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.468889,0.214444,0.0255556,0.0233333,0.00888889,0.00555556,0.00777778,0.0122222,0.00555556,0.00666667,0.00888889,0.00888889,0.01,0.00777778,0.0144444,0.00666667,0.02,0.0211111,0.0211111,0.0177778,0.0122222,0.0177778,0.0122222,0.00444444,0.00666667,0.00444444,0.00666667,0.00555556,0.00444444,0.00555556,0.00444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.565263,0.2,0.0284211,0.0221053,0.00947368,0.0147368,0.00947368,0.0210526,0.0126316,0.0105263,0.0105263,0.00315789,0.00631579,0.00526316,0.00526316,0.0115789,0.0157895,0.0136842,0.00526316,0.00736842,0.00736842,0.00421053,0,0.00631579,0.00210526,0.00105263,0.00105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.636,0.227,0.012,0.014,0.011,0.008,0.006,0.012,0.003,0.005,0.004,0.006,0.006,0.009,0.004,0.004,0.004,0.006,0.007,0.008,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.679048,0.155238,0.0133333,0.00857143,0.0133333,0.0047619,0.000952381,0.0114286,0.00571429,0.00571429,0.0047619,0.00666667,0.00952381,0.00666667,0.0104762,0.00952381,0.00952381,0.0152381,0.00666667,0.0114286,0.00571429,0.00190476,0.00190476,0,0.000952381,0,0.000952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.725455,0.210909,0.0209091,0.00727273,0.00454545,0.00727273,0.00181818,0.00363636,0.000909091,0.000909091,0,0.00454545,0.000909091,0.00363636,0.00181818,0.00363636,0,0.000909091,0,0.000909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.774783,0.153043,0.00956522,0.00521739,0.00347826,0.00434783,0.00956522,0.00608696,0.00521739,0.00608696,0.00608696,0.00521739,0.00434783,0.000869565,0.00173913,0.00173913,0.00173913,0,0.000869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.816667,0.1225,0.01,0.00666667,0.00416667,0.00833333,0.005,0.00833333,0.000833333,0.00666667,0.00166667,0.00166667,0.00166667,0.00166667,0.0025,0.000833333,0,0.000833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.8568,0.1184,0.008,0.0032,0.0016,0.0008,0,0.0008,0.0016,0.0024,0.0024,0.0016,0.0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.885385,0.0869231,0.00230769,0.00923077,0.00307692,0.00384615,0.00230769,0.00230769,0.00153846,0.00153846,0.000769231,0.000769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.911111,0.0755556,0.000740741,0.00148148,0.000740741,0.00148148,0.00222222,0.00222222,0,0.000740741,0.000740741,0.00222222,0.000740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.931429,0.055,0.00214286,0.00285714,0.000714286,0.00357143,0.000714286,0.000714286,0.000714286,0,0.000714286,0.00142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.944138,0.0531034,0.000689655,0.00206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.966667,0.0326667,0,0.000666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.976129,0.0225806,0.000645161,0.000645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
