"Experiment #0"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
10,0.0366839,0.609951,0.941634,0.278267,1,-0.1,6,3,9
11,0.0250024,0.609951,0.950385,0.269517,1,-0.1,6,3,9
12,0.0214796,0.609951,0.957182,0.26272,1,-0.1,6,3,9
13,0.0172595,0.609951,0.962119,0.257782,1,-0.1,6,3,9
14,0.0144605,0.609951,0.965548,0.254354,1,-0.1,6,3,9
"Experiment #24"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.977213,0.983499,0,1.967,1,-0.1,-6,3,14
1,0.777214,0.983499,1.35064,0.616359,1,-0.1,-6,3,14
2,0.632214,0.983499,1.47086,0.496134,1,-0.1,-6,3,14
3,0.467399,0.983499,1.54176,0.425239,1,-0.1,-6,3,14
4,0.310269,0.983499,1.55998,0.407018,1,-0.1,-6,3,14
5,0.155992,0.983499,1.53792,0.429074,1,-0.1,-6,3,14
6,0.0156605,0.983499,1.48508,0.481913,1,-0.1,-6,3,14
7,0.105088,0.983499,1.41737,0.549631,1,-0.1,-6,3,14
8,0.194175,0.983499,1.35234,0.614655,1,-0.1,-6,3,14
9,0.249206,0.983499,1.30579,0.661203,1,-0.1,-6,3,14
10,0.267509,0.983499,1.28919,0.67781,1,-0.1,-6,3,14
11,0.249352,0.983499,1.30563,0.661371,1,-0.1,-6,3,14
12,0.20186,0.983499,1.34611,0.62089,1,-0.1,-6,3,14
13,0.13471,0.983499,1.39708,0.569921,1,-0.1,-6,3,14
14,0.0591753,0.983499,1.44592,0.521075,1,-0.1,-6,3,14
"Experiment #25"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.995514,0.996761,0,1.99352,1,-0.1,-3,3,14
1,0.786069,0.996761,1.37525,0.618279,1,-0.1,-3,3,14
2,0.646625,0.996761,1.48907,0.504449,1,-0.1,-3,3,14
3,0.489402,0.996761,1.55767,0.435856,1,-0.1,-3,3,14
4,0.327875,0.996761,1.57907,0.414453,1,-0.1,-3,3,14
5,0.170403,0.996761,1.55855,0.434968,1,-0.1,-3,3,14
6,0.0356148,0.996761,1.50456,0.488963,1,-0.1,-3,3,14
7,0.11647,0.996761,1.42728,0.56624,1,-0.1,-3,3,14
8,0.222889,0.996761,1.34772,0.645802,1,-0.1,-3,3,14
9,0.282696,0.996761,1.295,0.698526,1,-0.1,-3,3,14
10,0.297708,0.996761,1.28055,0.712978,1,-0.1,-3,3,14
11,0.272264,0.996761,1.30365,0.689875,1,-0.1,-3,3,14
12,0.2162,0.996761,1.35157,0.641953,1,-0.1,-3,3,14
